region,hike,link,distanz,wanderzeit,aufsteig,absteig,empfohlenesaison,technikRating,panoramicRating,gesamterlebnisRating,besondereerlebnisse,standort,anreise_OEV,zielort,ruckreise_OEV,verpflegung
"Graubünden","HöhenwanderungvomGotschnagratinsParsenngebiet",http://www.wanderungen.ch/de/touren/wanderungen/graubuenden/Gotschnagrat-Parsennh%C3%BCtte-Stn%20H%C3%B6henweg.html?tour=329,"7 km",2Std.15Min.,180m,245m,"Juli - Oktober","T1 (einfaches Wandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","Panorama, Orte Davos und Klosters","Seilbahnstation Gotschnagrat",Gotschnagrat,"Seilbahnstation Stn. Höhenweg (Parsennbahn)","Höhenweg","Gotschnagrat, Parsennhütte, Stn. Höhenweg"
Jura,RundwanderungvonNoiraiguezumCreuxduVan,http://www.wanderungen.ch/de/touren/wanderungen/jura/Noiraigue-Ferme%20Robert-Creux%20du%20Van.html?tour=289,"11 km",4Std.10Min.,745m,745m,"Mai - November","T2 (Bergwandern)","4 (viele tolle Ausblicke)","5 (das Beste vom Besten)","Felsenkessel Creux du Van","Bahnhof Noiraigue",Noiraigue,"Bahnhof Noiraigue",Noiraigue,"Noiraigue, Ferme Robert, Ferme du Soliat, Les Oeuillons"
Jura,"HöhenwanderungüberdenMontTendre",http://www.wanderungen.ch/de/touren/wanderungen/jura/Le%20Pont-Mont%20Tendre-Col%20du%20Marchairuz.html?tour=3,"20 km",5Std.45Min.,850m,409m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","Ausblicke auf den Jura und auf den Lac Léman, Lac de Joux","Bahnhof Le Pont","Le Pont","Bushaltestelle Col du Marchairuz","Le Marchairuz, col","Le Pont, Chalet du Mont Tendre, Col du Marchairuz"
Jura,"HöhenwanderungüberdenGeissrückenzumChasseral",http://www.wanderungen.ch/de/touren/wanderungen/jura/Frinvillier-Geissr%C3%BCcken-Zentralplatz-Chasseral.html?tour=1367,"18 km",6Std.,1307m,314m,"Mai - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","Grandioser Höhenweg","Bahnhof Frinvillier-Taubenloch",Frinvillier-Taubenloch,"Bushaltestelle Chasseral Hôtel","Chasseral, Hôtel","Frinvillier, Jobert (neben der Route), Chasseral"
Jura,"WanderungdurchdieSchluchtderPoëtaRaisse",http://www.wanderungen.ch/de/touren/wanderungen/jura/M%C3%B4tiers-Po%C3%ABta%20Raisse-Chasseron-Ste%20Croix.html?tour=50,"17 km",5Std.,954m,623m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","Mittelalterlicher Dorfkern von Môtiers, Rousseau-Museum in Môtiers, Schlucht Poëta Raisse","Bahnhof Môtiers","Môtiers","Bahnhof Ste-Croix",Ste-Croix,"Môtiers, Bergrestaurant Chasseron, Les Avattes, Ste-Croix"
Mittelland,"WanderungHöhenrouteNapf",http://www.wanderungen.ch/de/touren/wanderungen/mittelland/L%C3%BCderenalp-Hohmatt%20G%C3%A4tterli-Napf-Mettlenalp.html?tour=998,"13 km",4Std.,577m,663m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","","Lüderenalp","Bushaltestelle Mettlenalp","Mettlenalp (Napf)","Lüderenalp, Oberlushütte, Niederänzi, Napf, Mettlenalp","Lüderenalp, Napf"
Mittelland,"WanderungAlpRämisgummen",http://www.wanderungen.ch/de/touren/wanderungen/mittelland/Eggiwil-Pfyffer-R%C3%A4misgummen.html?tour=1009,"17 km",4Std.45Min.,622m,622m,"Mai - November","T1 (einfaches Wandern)","4 (viele tolle Ausblicke)","3 (empfehlenswerte Tour)","Pfyffer und Rämisgummenhoger: Aussichtspunkte","Bushaltestelle Eggiwil, Dorf","Eggiwil, Dorf","Bushaltestelle Eggiwil, Dorf","Eggiwil, Dorf",Eggiwil
Nordwestschweiz,"WanderungzumhöchstenGipfelimKantonSolothurn",http://www.wanderungen.ch/de/touren/wanderungen/nordwestschweiz/Balmberg-Weissenstein-Grenchenberge.html?tour=62,"15 km",4Std.30Min.,710m,473m,"Mai - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","Landschaften und Aussichten auf die Alpen und den Jura","Oberbalmberg, Kurhaus","Oberbalmberg, Kurhaus","Unterer Grenchenberg","Grenchen, Unterer Grenchenberg","Oberbalmberg, Weissenstein, Hint. Weissenstein, Ob. Grenchenberg, Unt. Grenchenberg"
"Ostschweiz und Liechtenstein",5SeenWanderungamPizol,http://www.wanderungen.ch/de/touren/wanderungen/ostschweiz/Pizolh%C3%BCtte-Gaffia%20Seen%20Wanderung.html?tour=231,"9 km",4Std.10Min.,557m,914m,"Juni - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Kristallklare Bergseen, Panorama","Pizolhütte","Pizolhütte",Gaffia,Furt,"Pizolhütte, Gaffia"
"Ostschweiz und Liechtenstein","BergwanderungzumSeealpsee,ÄscherundEbenalp",http://www.wanderungen.ch/de/touren/wanderungen/ostschweiz/Wasserauen-Seealpsee-%C3%84scher-Ebenalp.html?tour=235,"7 km",3Std.5Min.,886m,165m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","5 (das Beste vom Besten)","Seealpsee, Bergrestaurant Äscher, Wildkirchli mit Grotte","Bahnhof Wasserauen",Wasserauen,"Seilbahnstation Ebenalp",Ebenalp,"Wasserauen, Seealpsee, Äscher, Ebenalp"
"Ostschweiz und Liechtenstein",DreiSeen-WanderungimAlpstein,http://www.wanderungen.ch/de/touren/wanderungen/ostschweiz/Wasserauen-Seealpsee-Bollenwees%20am%20F%C3%A4lensee-S%C3%A4mtisersee-Br%C3%BClisau.html?tour=984,"17 km",6Std.30Min.,1159m,1106m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","Seealpsee, Fälensee, Sämtisersee","Bahnhof Wasserauen",Wasserauen,"Bushaltestelle Brülisau Kastenbahn","Brühlisau, Kastenbahn","Berggasthaus Forelle, Berggasthaus Meglisalp, Berggasthaus Bollenwees, Beggasthaus Plattenbödeli"
"Ostschweiz und Liechtenstein","GipfelwanderungzumChäserruggundHinterrugg",http://www.wanderungen.ch/de/touren/wanderungen/ostschweiz/Iltios-Ch%C3%A4serrugg-Hinterrugg.html?tour=180,"11 km",4Std.45Min.,990m,990m,"Juli - Oktober","T3 (anspruchsvolles Bergwandern)","5 (grandiose Panoramatour)","4 (Toptour, sehr empfehlenswert)","Aussichten auf die umliegende Bergwelt","Seilbahnstation BUIC, Iltios (bei Unterwasser)",Iltios,"Seilbahnstation BUIC, Iltios (bei Unterwasser)",Iltios,"Iltios, Stöfeli, Chäserrugg"
"Ostschweiz und Liechtenstein","BergwanderungvonWildhauszumSäntis",http://www.wanderungen.ch/de/touren/wanderungen/ostschweiz/Wildhaus-Thurwies-Schafboden-S%C3%A4ntis.html?tour=1262,"11 km",5Std.,1571m,200m,"Juli - Oktober","T4 (Alpinwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","Panorama, Passage ","Bushaltestelle Wildhaus, Post","Wildhaus, Post","Seilbahnstation Säntis","Säntis","Wildhaus, Gamplüt, Schafboden, Rotsteinpass, Säntis"
"Ostschweiz und Liechtenstein","HöhenwanderungzurSpitzmeilenhütte",http://www.wanderungen.ch/de/touren/wanderungen/ostschweiz/Maschgenkamm-Spitzmeilenh%C3%BCtte-Fursch.html?tour=870,"13 km",4Std.30Min.,477m,477m,"Juni - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","4 (Toptour, sehr empfehlenswert)","",Maschgenkamm,"Seilbahnstation Maschgenkamm",Maschgenkamm,"Maschgenkamm, Spitzmeilenhütte SAC, Fursch, Panüöl",Flumserberg
"Ostschweiz und Liechtenstein","PanoramawanderunghochüberBraunwald",http://www.wanderungen.ch/de/touren/wanderungen/ostschweiz/Grotzenb%C3%BCel-Chn%C3%BCgrat-Gumen-Ortstockhaus.html?tour=886,"9 km",3Std.,437m,437m,"Juni - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","",Braunwald,"Seilbahnstation Grotzenbüel",Braunwald,"Grotzenbüel, Gummen, Ortstockhaus",Braunwald
Tessin,TraversatavomMonteTamarozumMonteLema,http://www.wanderungen.ch/de/touren/wanderungen/tessin/Alpe%20Foppa-Monte%20Tamaro-Monte%20Lema.html?tour=70,"13 km",4Std.30Min.,672m,641m,"Mai - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Chiesa di S. Maria degli Angeli von Mario Botta","Seilbahnstation Alpe Foppa","Alpe Foppa","Seilbahnstation Monte Lema","Monte Lema","Alpe Foppa, Campagna Monte Tamaro, Monte Lema"
Tessin,KlassischeWanderungzumMonteSanSalvatore,http://www.wanderungen.ch/de/touren/wanderungen/tessin/Paradiso-San%20Salvatore-Carona-Morcote.html?tour=74,"12 km",4Std.30Min.,806m,843m,"April - November","T2 (Bergwandern)","4 (viele tolle Ausblicke)","5 (das Beste vom Besten)","Altstadt von Lugano, Dorfkern von Carona, botanischer Garten San Grato, Dorfkern und Kirche von Morcote","Bahnhof Lugano-Paradiso",Lugano-Paradiso,Morcote,"Morcote, Piazza Grande","Paradiso, San Salvatore, Carona, Morcote"
Tessin,WanderungvomValcollaaufdenMonteBar,http://www.wanderungen.ch/de/touren/wanderungen/tessin/Signora-Monte%20Bar-Bidogno.html?tour=1017,"13 km",5Std.,860m,1057m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","","Signora, Paese","Bushaltestelle Bidogno, Paese","Bidogno, Paese","Cap. Monte Bar, Bidogno","Tesserete, Cap. Monte Bar"
Tessin,"WanderungvonCardadaüberMontidiLegonachOrselina",http://www.wanderungen.ch/de/touren/wanderungen/tessin/Cardada-Monti%20di%20Lego-Orselina.html?tour=286,"12 km",4Std.20Min.,209m,1162m,"Mai - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","Aussichtsplattform Cardada, Kirche Madonna del Sasso","Bergstation Cardada",Cardada,"Orselina Funivia","Madonna del Sasso","Cardada, Alpe Cardada, Monti di Lego, Viona, Orselina"
Tessin,RundwanderungimValPiora,http://www.wanderungen.ch/de/touren/wanderungen/tessin/Piora-Lago%20di%20Tom-Cadagno-Lago%20Rit%C3%B2m.html?tour=1254,"15 km",5Std.15Min.,902m,902m,"Juli - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","Seenwelt im Val Piora","Standseilbahnstation Piora",Piora,"Standseilbahnstation Piora",Piora,"Piora, Cadagno, Rifugio Lago Ritòm"
Wallis,"HöhenwanderungüberdemAletschgletscher",http://www.wanderungen.ch/de/touren/wanderungen/wallis/Fiescheralp-M%C3%A4rjelensee-Moosfluh%20Riederalp.html?tour=232,"12 km",4Std.,380m,255m,"Juli - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","UNESCO Weltnaturerbe Aletschgletscher","Seilbahnstation Fiescheralp (Fiesch - Eggishorn)",Fiescheralp,"Seilbahnstation Moosfluh (Riederalp)",Moosfluh,"Fiescheralp, Gletscherstube Märjela, Riederalp"
Wallis,"BergwanderungüberdieMassaschluchtzurBelalp",http://www.wanderungen.ch/de/touren/wanderungen/wallis/Riederalp-H%C3%A4ngebr%C3%BCcke-Belalp.html?tour=359,"11 km",4Std.45Min.,878m,707m,"Juni - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Aletschwald, Hängebrücke über die Massaschlucht, Panorama","Seilbahnstation Riederalp West","Riederalp Mitte","Seilbahnstation Belalp",Belalp,"Riederalp, Riederfurka, Hotel Belalp, Belalp"
Wallis,5-SeenweginZermatt,http://www.wanderungen.ch/de/touren/wanderungen/wallis/Blauherd-Stellisee-Grindjisee-Gr%C3%BCnsee-Moosjiesee-Leisee-Sunnegga.html?tour=1074,"9 km",2Std.30Min.,286m,575m,"Juni - September","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Matterhornspiegelung im Stellisee und Grindjisee, Findelngletscher-Moräne","Seilbahnstation Blauherd","Blauherd ZBAG-lsu","Standseilbahnstation Sunnegga","Sunnegga ZBAG-zsb","Blauherd, Ze Seewjinen, Eggen, Sunnegga"
Wallis,"HöhenwanderungimAndlitzderWalliser4000er",http://www.wanderungen.ch/de/touren/wanderungen/wallis/Gspon-Siwibode-Saas%20Grund.html?tour=326,"14 km",5Std.5Min.,513m,852m,"Juli - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","Ausblicke auf die höchsten Berge der Schweiz","Seilbahnstation Gspon",Gspon,"Bushaltestelle Saas Grund Post","Saas-Grund, Post","Gspon, Heimischgarte, Saas Grund"
Wallis,"LötschentalerHöhenwegvonderFafleralpzurLauchernalp",http://www.wanderungen.ch/de/touren/wanderungen/wallis/Fafleralp-Lauchernalp%20L%C3%B6tschentaler%20H%C3%B6henweg.html?tour=230,"9 km",3Std.,425m,232m,"Juni - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Schwarzsee, Sagenweg, Bergpanorama","Bushaltestelle Fafleralp",Fafleralp,"Seilbahnstation Lauchernalp",Lauchernalp,"Fafleralp, Tellialp, Lauchernalp"
Wallis,"PasswanderungüberdenGemmipassinsBernerOberland",http://www.wanderungen.ch/de/touren/wanderungen/wallis/Leukerbad-Gemmipass-Sunnb%C3%BCel.html?tour=98,"13 km",4Std.15Min.,1040m,486m,"Juli - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","4 (Toptour, sehr empfehlenswert)","Thermalbäder von Leukerbad, Dorfkern von Leukerbad","Busbahnhof Leukerbad",Leukerbad,"Bergstation Kandersteg - Sunnbüel","Sunnbüel","Leukerbad, Gemmipass, Schwarenbach, Sunnbüel"
Wallis,BergwanderunghinaufzurPlaineMorte,http://www.wanderungen.ch/de/touren/wanderungen/wallis/Cabane%20des%20Violettes-Col%20de%20Pochet-Plaine%20Morte.html?tour=876,"7 km",3Std.50Min.,820m,178m,"Juli - Oktober","T3 (anspruchsvolles Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","",Cabane-des-Violettes,"Seilbahnstation Pleine Morte",Glacier-de-la-Plaine-Morte,"Cab. des Violettes, Plaine Morte",Crans-Montana
Westschweiz,"GipfelwanderungzumMoléson",http://www.wanderungen.ch/de/touren/wanderungen/westschweiz/Plan%20Francey-Col%20de%20Villard-Mol%C3%A9son.html?tour=331,"8 km",3Std.30Min.,680m,227m,"Juli - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)",Panorama,"Station Plan Francey",Plan-Francey,"Seilbahnstation Moléson","Le Moléson","Plan Francey, Gros Plané, Moléson"
Westschweiz,"WanderungvomSchwarzseeüberLaBalisanachCharmey",http://www.wanderungen.ch/de/touren/wanderungen/westschweiz/Schwarzsee-La%20Balisa-La%20Valsainte-Charmey.html?tour=240,"17 km",4Std.30Min.,552m,713m,"Mai - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","4 (Toptour, sehr empfehlenswert)","Schwarzsee, Kloster La Valsainte (nicht besuchbar)","Bushaltestelle Schwarzsee Bad","Schwarzsee, Gypsera","Bushaltestelle Charmey Poste","Charmey (Gruyère), village","Schwarzsee, LAuta Chia (nur bis Ende September), Les Mossettes, Charmey"
Zentralschweiz,4SeenWanderungvonEngelbergzurMelchsee-Frutt,http://www.wanderungen.ch/de/touren/wanderungen/zentralschweiz/Tr%C3%BCbsee-Jochpass-Melchsee%20Frutt.html?tour=148,"14 km",5Std.,636m,527m,"Juli - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","Bergseen, Alpenflora, Kapelle in Melchsee-Frutt","Bergstation Trübsee","Trübsee","Bergstation Melchsee-Frutt",Melchsee-Frutt,"Engelberg, Trübsee, Alpstubli, Jochpass, Tannenalp, Melchsee-Frutt"
Zentralschweiz,"HöhenwanderungaufdemWalenpfad",http://www.wanderungen.ch/de/touren/wanderungen/zentralschweiz/Engelberg%20Ristis-Brunnih%C3%BCtte-Bannalp%20Chr%C3%BCzh%C3%BCtte.html?tour=1204,"11 km",3Std.50Min.,748m,631m,"Juni - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","4 (Toptour, sehr empfehlenswert)","Barfussweg bei der Brunnihütte, Panorama, Landschaft","Seilbahnstation Ristis",Ristis,"Seilbahnstation Bannalp/Chrüzhütte","Chrüzhütte","Ristis, Brunnihütte SAC, Walenhüttli, Oberfeld, Urnerstafel"
Zentralschweiz,PanoramatourvomKlingenstockzumFronalpstock,http://www.wanderungen.ch/de/touren/wanderungen/zentralschweiz/Klingenstock-Huser%20Stock-Fronalpstock.html?tour=1229,"4 km",2Std.15Min.,348m,372m,"Juni - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","4 (Toptour, sehr empfehlenswert)","Ausblicke auf den Vierwaldstättersee und die Zentralschweizer Alpen","Klingenstock Sessellift",Stoos,"Fronalpstock Sessellift",Stoos,"Fronalpstock, Stoos"
Zentralschweiz,"HöhenwanderungüberdieScheideggzumUrmiberg",http://www.wanderungen.ch/de/touren/wanderungen/zentralschweiz/Rigi%20Kaltbad-Rigi%20Scheidegg-Urmiberg.html?tour=145,"13 km",4Std.10Min.,454m,750m,"Juni - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","4 (Toptour, sehr empfehlenswert)","Aussichten auf die umliegende Berg- und Seenwelt",Rigi-Kaltbad,"Rigi Kaltbad-First","Bergstation Seilbahn Brunnen-Urmiberg","Luftseilbahn Brunnen-Urmiberg","Rigi-Kaltbad, First, Scheidegg, Burggeist, Gätterli, Urmiberg"
Zentralschweiz,"WanderungaufdemSchächentalerHöhenweg",http://www.wanderungen.ch/de/touren/wanderungen/zentralschweiz/Biel%20Kinzig-Fleschersee-Eggberge.html?tour=381,"8 km",2Std.30Min.,263m,438m,"Juni - Oktober","T1 (einfaches Wandern)","5 (grandiose Panoramatour)","4 (Toptour, sehr empfehlenswert)","Ausblicke auf die Urner Alpen","Seilbahnstation Biel (Kinzig)","Biel (Kinzig)","Seilbahnstation Eggberge",Eggberge,"Biel (Kinzig), Fleschersee, Eggberge"
Zentralschweiz,"KlimahörpfadGöscheneralp",http://www.wanderungen.ch/de/touren/wanderungen/zentralschweiz/G%C3%B6scheneralp-Damma-Br%C3%A4tschenflue.html?tour=1087,"8 km",3Std.,442m,442m,"Juni - Oktober","T2 (Bergwandern)","4 (viele tolle Ausblicke)","4 (Toptour, sehr empfehlenswert)","","Göscheneralp, Dammagletscher","Bushaltestelle Göscheneralp, Dammagletscher","Göscheneralp, Dammagletscher","Göscheneralp","Göschenen, Andermatt"
"Ostschweiz und Liechtenstein","PanoramawanderungaufdemFürstin-Gina-Weg",http://www.wanderungen.ch/de/touren/wanderungen/ostschweiz/Sareis-Augstenberg-Pf%C3%A4lzerh%C3%BCtte-Malbun.html?tour=888,"10 km",4Std.,539m,924m,"Juli - Oktober","T2 (Bergwandern)","5 (grandiose Panoramatour)","5 (das Beste vom Besten)","",Sareis,Malbun,"Malbun, Zentrum","Sareis, Pfälzerhütte, Malbun",Malbun
